id_aviso,tipo,zona_barrio,precio,superficie,ambientes,dormitorios,banios,antiguedad,cochera,balcon,pileta,fecha_publicacion,latitud,longitud,precio_outlier,superficie_missing
A-700480,Departamento,Belgrano,1267000.0,75.0,4,3,2,4.0,1,1,0,04/01/2025,-34.549646421652646,-58.462834001141694,0,0
A-220016,Departamento,Almagro,584000.0,39.0,2,1,1,6.0,0,0,0,15/01/2024,-34.60873815826056,-58.43909947532191,0,0
A-492142,Departamento,Flores,252000.0,35.0,2,1,1,23.0,1,0,0,07/03/2024,-34.62205081312381,-58.45626733855754,0,0
A-675147,Ph,Belgrano,546000.0,38.0,2,1,1,0.0,0,0,1,04/12/2024,-34.574756771995716,-58.463757544997684,0,0
A-307536,Departamento,Villa Urquiza,337000.0,33.0,1,0,1,2.0,0,1,0,25/02/2024,-34.55428879305003,-58.4866156408398,0,0
A-971306,Departamento,Boedo,774000.0,76.0,3,2,1,24.0,1,1,0,23/11/2024,-34.62344873911467,-58.40810592330541,0,0
A-247481,Ph,Palermo,1324000.0,66.0,2,1,1,16.0,1,1,0,29/06/2024,-34.586347936612235,-58.41099567971239,0,0
A-148608,Departamento,Palermo,1111500.0,37.0,1,0,1,0.0,0,0,0,13/06/2025,-34.5582681308029,-58.42566948108769,0,0
A-397070,Casa,Recoleta,1513000.0,60.0,3,2,1,5.0,1,0,0,26/06/2024,-34.59633012083062,-58.39006811756547,0,0
A-558506,Departamento,Flores,1024000.0,102.0,6,5,4,13.0,0,1,0,28/04/2025,-34.646815062261375,-58.45992555502545,0,0
A-953618,Departamento,Colegiales,611000.0,37.0,1,0,1,37.0,0,1,0,02/03/2025,-34.56656285878113,-58.46213980954331,0,0
A-402559,Ph,Villa Urquiza,1497000.0,106.0,4,3,2,19.0,1,0,0,28/07/2025,-34.57764751176742,-58.48375010781255,0,0
A-361977,Departamento,Boedo,265000.0,20.0,1,0,1,5.0,1,1,0,09/06/2024,-34.64212983168328,-58.41349250687203,0,0
A-789200,Departamento,Villa Urquiza,787000.0,58.0,3,2,2,26.0,0,1,0,17/04/2025,-34.57758194871214,-58.4831297720623,0,0
A-912662,Departamento,Nuñez,792000.0,38.0,2,1,1,4.0,0,0,0,21/07/2025,-34.52444696679714,-58.46219051155178,0,0
A-399342,Departamento,Palermo,956000.0,28.0,2,1,1,12.0,0,0,0,17/06/2024,-34.581075104907484,-58.41534193390594,0,0
A-713500,Casa,Flores,1447000.0,117.0,3,2,2,20.0,1,0,0,22/04/2024,-34.63907055594138,-58.49344908301277,0,0
A-185253,Ph,Palermo,673500.0,35.0,2,1,1,36.0,1,1,0,07/10/2024,-34.55451897551049,-58.42681602652025,0,0
A-555250,Departamento,Villa Urquiza,452000.0,42.0,1,0,1,45.0,1,1,0,26/03/2024,-34.567131377212306,-58.497326837473075,0,0
A-537496,Departamento,Palermo,295000.0,24.0,2,1,1,52.0,0,1,0,27/05/2024,-34.56263807137183,-58.435639075630924,0,0
A-162824,Departamento,Caballito,1757000.0,111.0,5,4,3,5.0,0,0,0,29/07/2024,-34.6415462234139,-58.41738312534255,0,0
A-619582,Departamento,Belgrano,318000.0,26.0,2,1,1,29.0,0,0,0,20/04/2025,-34.55459079208635,-58.48234825806085,0,0
A-183562,Departamento,Palermo,853000.0,47.0,1,0,1,5.0,1,0,0,23/01/2025,-34.569627929749885,-58.451713695349305,0,0
A-349003,Departamento,Caballito,840000.0,62.0,3,2,1,16.0,1,0,0,18/12/2024,-34.61029291789421,-58.422720551502856,0,0
A-396742,Departamento,Palermo,2947000.0,127.0,6,5,3,4.0,0,0,0,12/03/2025,-34.58564644258823,-58.431746661918545,0,0
A-127147,Departamento,Villa Crespo,3059000.0,130.0,6,5,4,3.0,0,1,0,06/01/2024,-34.60390730267089,-58.442382191395524,0,0
A-915822,Departamento,Boedo,364000.0,23.0,2,1,1,5.0,0,0,1,12/04/2024,-34.61610880581074,-58.40266087604737,0,0
A-791641,Departamento,Recoleta,1394000.0,61.0,3,2,1,13.0,0,0,0,22/06/2025,-34.592193271926604,-58.404270824985076,0,0
A-681167,Departamento,Nuñez,600000.0,42.0,1,0,1,7.0,1,1,0,17/11/2024,-34.55378018303031,-58.45443808637519,0,0
A-108027,Departamento,Nuñez,766000.0,52.0,2,1,1,17.0,0,0,0,20/06/2025,-34.55369249053641,-58.46508935706178,0,0
A-846895,Departamento,Villa Urquiza,445000.0,44.0,2,1,1,9.0,0,1,0,25/09/2024,-34.56776871803,-58.47883847389926,0,0
A-634710,Departamento,Villa Crespo,469000.0,34.0,1,0,1,13.0,0,0,0,20/08/2024,-34.58951714216662,-58.440086617360784,0,0
A-362753,Casa,Colegiales,2840000.0,129.0,4,3,2,0.0,1,0,0,18/12/2024,-34.57076396771123,-58.45276067722716,0,0
A-872350,Ph,Villa Crespo,881000.0,50.0,2,1,1,3.0,0,0,0,20/02/2024,-34.613710707161275,-58.437818520860986,0,0
A-393971,Departamento,Villa Crespo,794000.0,57.0,3,2,1,31.0,0,0,0,03/07/2024,-34.60096350538527,-58.452707235411474,0,0
A-393112,Departamento,Almagro,406000.0,31.0,2,1,1,5.0,0,1,0,02/04/2024,-34.6115810982583,-58.42243027596963,0,0
A-527054,Departamento,Colegiales,976000.0,40.0,2,1,1,8.0,1,1,0,06/01/2024,-34.55796142346943,-58.448709497150084,0,0
A-147351,Ph,Boedo,610000.0,57.0,2,1,1,13.0,0,0,1,06/09/2024,-34.646139519279544,-58.415367195017936,0,0
A-932487,Ph,Nuñez,2059000.0,67.0,2,1,1,3.0,0,0,0,01/07/2025,-34.537717792881416,-58.43832147722205,0,0
A-744810,Departamento,San Telmo,457000.0,46.0,1,0,1,18.0,0,1,0,06/03/2025,-34.62229580423215,-58.37335577347728,0,0
A-703454,Ph,Caballito,1575000.0,75.0,3,2,2,5.0,1,0,0,02/03/2024,-34.62066147180781,-58.45469157883547,0,0
A-966024,Departamento,Colegiales,757000.0,47.0,2,1,1,7.0,0,0,0,21/05/2024,-34.55973147134925,-58.438530922164865,0,0
A-986888,Departamento,Nuñez,907000.0,54.0,2,1,1,24.0,0,1,0,08/09/2024,-34.525002098779304,-58.463857195864925,0,0
A-461317,Ph,Almagro,1348000.0,98.0,3,2,1,11.0,1,0,0,17/05/2025,-34.61645574234586,-58.414402664837915,0,0
A-649236,Departamento,Recoleta,410000.0,27.0,1,0,1,12.0,0,0,0,07/07/2024,-34.58294183623412,-58.400981255774084,0,0
A-431268,Departamento,Villa Crespo,283000.0,30.0,1,0,1,51.0,0,0,0,25/04/2025,-34.601753992605374,-58.44902471962007,0,0
A-842557,Departamento,Recoleta,712000.0,46.0,2,1,1,19.0,0,1,0,27/01/2025,-34.583803026217026,-58.424647959394555,0,0
A-569038,Departamento,Colegiales,746000.0,44.0,2,1,1,11.0,0,1,0,02/10/2024,-34.55640386249097,-58.46063965524332,0,0
A-925671,Departamento,Boedo,529000.0,50.0,2,1,1,5.0,1,0,0,19/12/2024,-34.63713974286723,-58.40466474678904,0,0
A-581249,Departamento,Boedo,200000.0,20.0,1,0,1,7.0,0,1,0,22/07/2025,-34.63538460239605,-58.40254324373994,0,0
